Node,Closeness,Clustering,Degree
1,True,True,True
2,True,True,True
3,False,False,False
4,False,True,True
5,False,False,False
6,False,False,False
7,False,False,False
8,True,True,True
9,False,False,False
10,False,False,False
11,False,False,False
12,True,False,False
13,False,False,False
14,False,False,False
15,False,False,False
16,False,False,False
17,True,True,True
18,True,True,False
19,False,False,False
20,True,True,False
21,False,True,False
22,False,False,False
23,False,False,False
24,False,False,False
25,False,False,False
26,False,False,False
27,False,True,False
28,False,False,False
29,True,True,False
30,True,True,True
31,False,False,False
32,False,False,False
33,True,True,True
34,True,True,False
35,True,True,True
36,True,True,True
37,True,True,True
38,True,True,True
39,True,True,True
40,False,True,True
41,False,False,False
42,True,True,True
43,False,True,True
44,True,True,True
45,False,False,False
46,False,True,False
47,True,True,False
48,True,True,True
49,False,True,True
50,False,True,True
51,True,True,True
52,False,True,True
53,False,True,True
54,False,True,True
55,False,True,False
56,False,True,True
57,True,True,True
58,True,True,True
59,True,True,True
60,True,True,True
61,True,True,True
62,True,True,True
63,True,True,True
64,True,True,True
65,True,True,True
66,False,True,True
67,True,True,True
68,False,True,False
69,True,True,True
70,True,True,True
71,False,False,False
72,False,False,False
73,False,True,True
74,False,True,False
75,True,True,False
76,True,True,True
77,True,True,True
78,True,True,True
79,True,True,True
80,True,True,True
81,True,True,True
82,True,True,False
83,False,False,False
84,False,False,False
85,True,True,True
86,True,True,True
87,False,False,False
88,False,True,False
89,True,True,True
90,False,True,True
91,False,True,False
92,True,True,True
93,True,True,True
94,True,True,True
95,True,True,True
96,True,True,True
97,True,True,True
98,True,True,True
99,True,True,True
100,False,True,True
101,False,False,False
102,False,False,False
103,False,False,False
104,False,True,False
105,True,True,True
106,True,True,True
107,True,True,True
108,False,True,True
109,True,True,True
110,True,True,True
111,False,False,False
112,False,False,False
113,False,True,False
114,False,False,False
115,True,True,True
116,False,False,False
