Node,Metric,Mean,Median,Standard Deviation
1,closeness,0.029963904134851616,0.039958723035454335,0.009116838792230006
1,clustering,0.007727378614907798,0.00755329898984991,0.002735653124511097
1,degree,0.9055400420049011,1.204741743982737,0.20918782007440218
2,closeness,0.04433667917402073,0.030492969620238286,0.054880970509287794
2,clustering,0.008290226846766724,0.0060188199673349985,0.003875242651719301
2,degree,0.8711123419475655,0.7363977390291438,0.31725574571236725
3,closeness,0.01901251380161706,0.021136718941447974,0.011524112391487595
3,clustering,0.006251836554070578,0.0069823626729639265,0.0013664748072122028
3,degree,0.7182040752459642,0.8079535014714452,0.005046037475148424
4,closeness,0.027293591381485127,0.032182018853890604,0.016562967307006987
4,clustering,0.007775393464679925,0.009405679295015457,0.000841187520242502
4,degree,0.9509822822611085,1.0000392209871194,0.16758206716356439
5,closeness,0.012102844866451523,0.02675631905428877,0.012644092826898407
5,clustering,0.005807977614185167,0.010936356914546086,0.0010589237374552009
5,degree,0.6439812439139416,1.4390769684052458,0.34820696729218437
6,closeness,0.009365123566178468,0.00778185686238686,0.005377186294244107
6,clustering,0.004768663699599496,0.004814028745591115,0.0005047556022869
6,degree,0.4516216577809047,0.2250508832624405,0.05039793792392855
7,closeness,0.011508784653281978,0.034788515975689105,0.012189560128291713
7,clustering,0.005639852914268384,0.009635631507987297,0.0005412803076985002
7,degree,0.6605294797333983,1.3219946371288387,0.26614211872886706
8,closeness,0.024371107773806466,0.02396184291570047,0.020971806919120192
8,clustering,0.006556236490879663,0.007238023272224781,0.002856376153810701
8,degree,0.7123807039491226,0.9053258553795018,0.32282970864470784
9,closeness,0.0008075869187043061,0.006526702310506671,0.006645613189539004
9,clustering,0.0027546993443187118,0.003852512110392281,0.00016081185752229998
9,degree,0.15587078499456197,0.027849321092489276,0.07954763627672934
10,closeness,0.010705726144948358,0.00975379855374281,0.003391748216838894
10,clustering,0.004826156852116514,0.006047032980245448,0.0009840935163101007
10,degree,0.4629866688644029,1.1455347240874687,0.046393794309834924
11,closeness,0.01938036824065148,0.023165498396948703,0.0028438519124589084
11,clustering,0.005062578321503808,0.007068729009444663,0.00023685042157190264
11,degree,0.4325612792548412,0.7909515551043143,0.14304610884039715
12,closeness,0.019793811866922306,0.02742520519202607,0.003891261722560199
12,clustering,0.005512744778288892,0.008656858382850796,0.0003019546721928987
12,degree,0.5393165279761831,0.9494614335670519,0.16841874872179696
13,closeness,0.005565809704316971,0.018856679803823884,0.0038559957175166026
13,clustering,0.003419842978973131,0.007115992005150007,0.000736691786800598
13,degree,0.21455341954360563,0.6975863493837409,0.0008151591040927997
14,closeness,0.011592255216247072,0.020454112054722362,0.014686258028748997
14,clustering,0.005369870117675757,0.006507562293345592,0.0021737083265099995
14,degree,0.5909078649108181,0.31288696094048873,0.37148781141716736
15,closeness,0.011764004396042749,0.022330851366475724,0.010133546132722701
15,clustering,0.005789341338072407,0.00788450207976954,0.001090414243316802
15,degree,0.677150471784401,0.9771353146237516,0.3149010106221013
16,closeness,0.012457795117422066,0.0206262224266196,0.005312274793388999
16,clustering,0.005601198814861985,0.005972928433108482,0.0009422137286373006
16,degree,0.6114830257955504,0.7132959810371062,0.10562224933253672
17,closeness,0.0319681465420969,0.02084024325286582,0.0157131540956984
17,clustering,0.007346381132563362,0.008392437298768929,0.0027580954025562023
17,degree,0.8143798476478139,0.9269562202564146,0.2504764375154984
18,closeness,0.03039753900806552,0.020038335409637176,0.0165209755770597
18,clustering,0.006019828199876565,0.007190508259373396,0.002772006666558798
18,degree,0.5583183446090771,0.8451140703539863,0.31915547024543844
19,closeness,0.019509852894091795,0.01593396460386276,0.033447700264172
19,clustering,0.004405648146985519,0.0033633864042159622,0.0032893870605831994
19,degree,0.2946285521845624,0.3397547370163352,0.12701044051079524
20,closeness,0.03500854076882676,0.02312369298519279,0.041696302388939094
20,clustering,0.007782884940771728,0.004502363436667434,0.0031716054502024006
20,degree,0.8620811944255138,0.738775568679813,0.14856553997951938
21,closeness,0.021386551974617696,0.03855049240382846,0.0028624431666267047
21,clustering,0.006856926475713343,0.013908371019194843,0.0019073848024635
21,degree,0.8379441296760177,1.8777320903596149,0.14162938468328834
22,closeness,0.011673207391363016,0.021728053917171142,0.00853317572408599
22,clustering,0.005349678821558901,0.0080508389014603,0.0009012117741527999
22,degree,0.6319191405267901,0.9854385457480959,0.024894005615919035
23,closeness,0.015860795160062002,0.016893396263391924,0.007884092384254901
23,clustering,0.004947570182554872,0.004161843324093417,0.0006962507524042004
23,degree,0.46434970534753006,0.4602081696763065,0.129406012503122
24,closeness,0.017072427897011577,0.010711420346547929,0.004743520311314697
24,clustering,0.006029385235461593,0.006465386094340775,2.6302258963599445e-05
24,degree,0.6642495479369188,0.8515104314736845,0.20202777630315882
25,closeness,0.015709962299190083,0.017283103201521488,0.0046981842614707
25,clustering,0.005770046303727128,0.005864101346213846,0.00042426352853159807
25,degree,0.6083301070586629,0.5790639772317832,0.054353544927522535
26,closeness,0.015221024784025872,0.013145872005466464,0.0057524218402954935
26,clustering,0.005898859606545792,0.007585221981927015,0.0002624515661519
26,degree,0.6375692587087656,0.9023969003394257,0.018172044883406624
27,closeness,0.026897364120768374,0.026845416029170455,0.004237523712651292
27,clustering,0.007779944249892368,0.008933057312752068,0.0003111919774595011
27,degree,0.8939361976026419,1.2619464766457895,0.20972898825396635
28,closeness,0.021228879893251174,0.02277416206174321,0.002745430119170597
28,clustering,0.0065272681471405525,0.0077402477418042626,0.0008810589546311004
28,degree,0.6963775616107029,0.9855342448316691,0.050959729564028056
29,closeness,0.03300244299997801,0.02863004878327513,0.031978788123619
29,clustering,0.005715943918212174,0.00807505436860989,0.0022074835147854015
29,degree,0.4997166395479411,0.7665042624079632,0.09204745277647719
30,closeness,0.034499829048808994,0.03991943173923418,0.018754725010987405
30,clustering,0.007389681083583621,0.009951304439917541,0.002784576409145499
30,degree,0.8336152426437451,0.9473566809952558,0.3212904181972238
31,closeness,0.005735599136200253,0.024728053202342837,0.0005889921878965004
31,clustering,0.003300359429438182,0.009803460800570374,4.74623331520041e-06
31,degree,0.24287140502774207,0.6422712542418623,0.2374345015781807
32,closeness,0.004754452745244109,0.011131448019252366,0.005036324973895695
32,clustering,0.0027684586519728382,0.005531154060886001,0.0006423713258494022
32,degree,0.1586488678105269,0.2979623592301266,0.2849151566812367
33,closeness,0.02693960404318063,0.039016377105294264,0.014215883784003805
33,clustering,0.005712340045448849,0.00944220163748688,0.0020815553269315015
33,degree,0.5737232784356507,1.1083586335459756,0.14081722149995457
34,closeness,0.028214055913238223,0.02637470194304181,0.018133552187100305
34,clustering,0.0060591125382136735,0.008489618258799903,0.001120210378974501
34,degree,0.6368713903459025,0.7935145405526072,0.055745456287100925
35,closeness,0.03396551331847686,0.03556980376519059,0.018338276988360908
35,clustering,0.008252752517773687,0.009970262528310792,0.0035726698932212995
35,degree,0.9656053290397466,1.0439774268851636,0.3328568412743733
36,closeness,0.03830872015082831,0.04532890796578015,0.015333736917020897
36,clustering,0.00909764836601279,0.014821945616218413,0.0036915927424021992
