Node,Closeness,Clustering,Degree
1,False,False,False
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,False,False,False
11,False,True,True
12,True,True,False
13,False,False,False
14,False,True,True
15,False,False,False
16,False,False,False
17,True,True,True
18,True,True,True
19,False,False,False
20,False,False,False
21,False,False,False
22,False,False,False
23,False,False,False
24,False,False,False
25,True,True,False
26,False,False,False
27,False,False,False
28,False,False,False
29,True,True,True
30,True,True,True
31,False,True,False
32,False,False,False
33,False,True,True
34,False,True,True
35,True,True,True
36,True,True,True
37,False,True,True
38,False,True,True
39,False,False,False
40,False,False,False
41,False,False,False
42,False,False,False
43,True,True,True
44,True,True,True
45,True,True,True
46,True,True,True
47,True,True,True
48,True,True,True
49,True,True,True
50,True,True,True
51,True,True,True
52,True,True,True
53,True,True,True
54,True,True,True
55,False,True,True
56,False,True,False
57,True,True,True
58,False,True,False
59,True,True,True
60,True,True,True
61,False,True,True
62,False,False,False
63,False,True,True
64,True,True,True
65,True,True,True
66,False,False,False
67,True,True,True
68,True,True,True
69,True,True,True
70,False,True,False
71,False,False,False
72,False,True,True
73,False,True,True
74,False,True,True
75,False,True,False
76,False,True,True
77,False,True,True
78,False,True,True
79,True,True,True
80,False,False,False
81,True,True,True
82,True,True,True
83,False,False,False
84,False,True,True
85,False,True,False
86,False,True,False
87,False,False,False
88,False,True,True
89,False,False,False
90,False,False,False
91,True,True,True
92,True,True,True
93,True,True,True
94,True,True,True
95,True,True,True
96,True,True,True
97,True,True,True
98,False,True,False
99,True,True,True
100,True,True,True
101,False,True,False
102,False,False,True
103,True,True,True
104,True,True,True
105,True,True,True
106,True,True,True
107,True,True,True
108,False,False,False
109,True,True,True
110,True,True,True
111,True,True,True
112,True,True,True
113,True,True,True
114,False,False,False
115,False,False,False
116,False,False,False
