Node,Closeness,Clustering,Degree
1,True,True,True
2,True,True,True
3,True,True,True
4,False,False,False
5,True,True,True
6,True,True,True
7,False,True,True
8,False,False,False
9,True,True,True
10,True,True,True
11,True,True,True
12,True,True,True
13,True,True,True
14,False,True,True
15,True,True,True
16,True,True,True
17,False,False,False
18,False,True,False
19,False,True,True
20,False,True,True
21,False,True,False
22,False,False,False
23,False,True,False
24,True,True,True
25,True,True,True
26,True,True,True
27,True,True,True
28,True,True,True
29,False,True,True
30,False,True,True
31,False,True,False
32,False,False,False
33,False,True,False
34,False,False,False
35,False,True,False
36,True,True,True
37,False,True,True
38,False,False,False
39,False,True,False
40,False,False,False
41,False,False,False
42,False,False,False
43,False,True,True
44,False,False,False
45,True,False,False
46,True,True,False
47,False,False,False
48,False,True,False
49,True,True,True
50,True,True,True
51,True,True,True
52,True,False,False
53,False,True,False
54,False,False,False
55,False,False,False
56,False,False,False
57,True,True,True
58,True,True,True
59,True,True,True
60,True,True,True
61,True,True,True
62,False,True,True
63,False,False,False
64,True,True,True
65,True,True,True
66,False,False,False
67,True,True,True
68,False,True,True
69,False,True,True
70,True,True,True
71,False,True,False
72,True,True,False
73,True,False,False
74,False,False,False
75,True,True,True
76,False,False,False
77,False,True,False
78,False,False,False
79,True,True,True
80,True,True,True
81,True,True,True
82,False,False,False
83,False,True,False
84,True,True,True
85,False,True,True
86,False,True,False
87,True,True,True
88,True,True,True
89,False,False,False
90,False,False,False
91,False,True,True
92,False,False,False
93,False,False,False
94,False,False,False
95,True,True,True
96,True,True,True
97,False,True,False
98,False,True,True
99,True,True,True
100,False,False,False
101,False,True,True
102,False,True,True
103,True,True,True
104,False,True,False
105,True,True,True
106,False,False,False
107,True,True,True
108,False,False,False
109,True,True,True
110,True,True,True
111,True,True,True
112,False,False,False
113,True,True,True
114,True,True,True
115,True,True,True
116,True,True,True
