Node,Closeness,Clustering,Degree
1,False,False,False
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,False,False,False
11,False,False,False
12,False,False,False
13,False,False,False
14,False,False,False
15,False,False,False
16,False,False,False
17,False,False,False
18,False,False,False
19,False,False,False
20,False,False,False
21,False,False,False
22,False,False,False
23,False,False,False
24,False,False,False
25,False,False,False
26,False,True,True
27,False,False,False
28,False,False,False
29,False,True,False
30,False,True,True
31,False,False,False
32,False,False,False
33,False,False,False
34,False,False,False
35,True,True,True
36,True,True,True
37,True,True,True
38,True,True,False
39,False,False,False
40,False,False,False
41,False,False,False
42,False,False,False
43,False,True,True
44,False,True,True
45,False,True,True
46,False,True,True
47,False,True,True
48,False,True,True
49,False,True,True
50,False,True,True
51,False,False,False
52,True,True,True
53,False,False,False
54,False,False,False
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,False,False,False
61,False,False,False
62,False,False,False
63,False,False,False
64,False,True,False
65,False,False,False
66,False,True,True
67,False,False,False
68,False,False,False
69,False,False,False
70,False,False,False
71,False,False,False
72,False,True,True
73,False,True,True
74,False,True,False
75,False,True,True
76,False,True,True
77,True,True,True
78,True,True,True
79,False,False,False
80,False,False,False
81,False,False,False
82,False,False,False
83,False,False,False
84,False,False,False
85,False,True,True
86,False,False,False
87,False,False,False
88,False,False,False
89,False,False,False
90,False,False,False
91,True,True,True
92,False,False,False
93,True,False,False
94,False,False,False
95,False,False,False
96,False,False,False
97,True,True,True
98,False,True,True
99,True,True,True
100,False,True,True
101,False,False,False
102,True,True,False
103,True,False,False
104,True,True,True
105,True,True,False
106,False,False,False
107,False,False,False
108,False,False,False
109,False,False,False
110,True,True,True
111,True,True,True
112,True,True,False
113,False,False,False
114,False,False,False
115,False,False,False
116,False,False,False
