Node,Metric,Mean,Median,Standard Deviation
1,closeness,0.09407004617589121,0.07062830309458756,0.08869328774298071
1,clustering,0.0037375904631617995,0.0010124664453180499,0.005867475258847
1,degree,0.3633627311116854,1.0904261941695381,0.43216432450704234
2,closeness,0.05820934311581083,0.0538840147370756,0.0774064010947691
2,clustering,0.0033681859868380792,0.0013300581942035095,0.0112087782974468
2,degree,0.25083084849745063,0.16058486352997647,1.1552981709654782
3,closeness,0.10574047346741366,0.11184248367080962,0.09875803467017201
3,clustering,0.009417891596848915,0.006521216867244717,0.006013593744994401
3,degree,0.579881256624617,0.43668418850491975,0.5868374459457018
4,closeness,0.12333852973379944,0.11901157185808486,0.0948526971511786
4,clustering,0.010747083005539282,0.013002832964729927,0.003957727578551798
4,degree,0.7119948268600069,0.3557782464536885,0.25285863260057573
5,closeness,0.00825210247331798,0.03592310747100247,0.01908207602669748
5,clustering,0.0009124738073632566,0.003845029061187333,0.002348971189969098
5,degree,0.7240339534290854,0.04310081221116491,0.9192942526524788
6,closeness,0.00522499299560919,0.023374440599372548,0.006507769069112684
6,clustering,0.002456004925242894,0.0012405401217625567,0.0004853956550271016
6,degree,0.14943951214520723,0.008950823113046624,0.27794268094179797
7,closeness,0.09488800613805992,0.08947246835458245,0.051322166952011694
7,clustering,0.005453351887444113,0.006363761067384233,0.003401229933049501
7,degree,0.1882401564944729,0.3006745601054348,0.768320937688987
8,closeness,0.08960793267344158,0.05022862363494118,0.0401852436671446
8,clustering,0.006414627293111597,0.003168809215332802,0.0083437800831654
8,degree,0.08235595039340637,0.8508659812178934,1.6583945010000378
9,closeness,0.05498467969329779,0.025564963804002083,0.0737427812577937
9,clustering,0.010198917434856236,0.007940525456010206,0.0020301633361277
9,degree,1.0483264678192583,0.9043842372300759,0.3036563519956057
10,closeness,0.05006423102213109,0.042040774283735205,0.0346271462663601
10,clustering,0.01091345726766102,0.01201467614300078,0.0008744158418075992
10,degree,1.1449610808158681,1.204716614409051,0.11708092500187339
11,closeness,0.06504509867107511,0.05110083014940203,0.0570416829317639
11,clustering,0.005705124661839256,0.0009269305171782927,0.005642374114453501
11,degree,0.06706287964298951,0.48081455452295074,1.137738716550686
12,closeness,0.1132764278970746,0.06632008191009708,0.07740858094949019
12,clustering,0.011584207482344344,0.005317229932524259,0.0009363895865559003
12,degree,0.9319114743148731,0.03355383467786055,0.002434938640083928
13,closeness,0.04752533099640144,0.05204867041937078,0.0664342701594991
13,clustering,0.004140607931544915,0.001721700874488974,0.003674419113264101
13,degree,0.1660718573541402,1.0038019978537278,0.8030035508413884
14,closeness,0.08632200935380818,0.052303233118999204,0.049725505701611786
14,clustering,0.009150363943301487,0.0005999821008815243,0.000376327475899
14,degree,0.5969816509189201,0.9886698418101787,0.19123013616080664
15,closeness,0.0024018252023378928,0.0074896010740233,0.003240986320351691
15,clustering,0.004736866322415323,0.004463824663288873,0.0088053578866156
15,degree,0.23851224971579654,0.8253086991201428,1.5060971483900412
16,closeness,0.004454658804101674,0.018558592913397343,0.031606334562494204
16,clustering,0.003509465456685068,0.0021082237181375696,0.0084879104580185
16,degree,0.01878749286683501,0.17002708605638617,1.0615571564157364
17,closeness,0.043821730856579366,0.039287548869371136,0.011104111784771609
17,clustering,0.012962466327612554,0.005665983954084686,0.004987318284891202
17,degree,1.5631446095836878,0.6837632838058454,0.7617789560435075
18,closeness,0.05506696054801208,0.05295107011661626,0.0027940340007295006
18,clustering,0.010544985661425255,0.006602165044601538,0.004713282366832199
18,degree,1.053396541642499,0.7434134352065911,0.7337169107538986
19,closeness,0.06869340492178977,0.09752710920411789,0.1072820776638678
19,clustering,0.0003772780459661007,0.003497445891369355,0.0100560485572091
19,degree,1.0619742756029353,0.9315932286183681,1.2333425373231794
20,closeness,0.08631732951403648,0.10408937664476925,0.110216409438865
20,clustering,0.0021250062266328085,0.0041912061135421785,0.0109324806122777
20,degree,0.6688971472059748,0.7524559600776186,1.089138490351977
