Graph,Closeness,Clustering,Degree
1,True,False,False
2,True,False,False
3,True,False,False
4,True,False,False
5,True,False,False
6,True,False,False
7,True,False,False
8,True,False,False
9,True,False,False
10,True,False,False
11,True,False,False
12,True,False,False
13,True,False,False
14,True,False,False
15,True,False,False
16,True,False,False
17,True,False,False
18,True,False,False
19,True,False,False
20,True,False,False
21,True,False,False
22,True,False,False
23,True,False,False
24,True,False,False
25,True,False,False
26,True,False,False
27,True,False,False
28,True,False,False
29,True,False,False
30,True,False,False
31,True,False,False
32,True,False,False
33,True,False,False
34,True,False,False
35,True,False,False
36,True,False,False
37,True,False,False
38,True,False,False
39,True,False,False
