Node,Closeness,Clustering,Degree
1,False,False,False
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,False,False,False
11,True,False,False
12,True,False,False
13,True,False,False
14,True,False,False
15,False,False,False
16,False,False,False
17,False,False,False
18,True,False,False
19,True,False,False
20,True,False,False
21,True,False,False
22,False,False,False
23,True,False,False
24,False,False,False
25,False,False,False
26,False,False,False
27,True,False,False
28,True,False,False
29,False,False,False
30,False,False,False
31,False,False,False
32,False,False,False
33,False,False,False
34,False,False,False
35,False,False,False
36,False,False,False
37,True,False,False
38,True,False,False
39,False,False,False
40,False,False,False
41,False,False,False
42,False,False,False
43,False,False,False
44,False,False,False
45,False,False,False
46,False,False,False
47,False,False,False
48,False,False,False
49,False,False,False
50,False,False,False
51,False,False,False
52,False,False,False
53,False,False,False
54,False,False,False
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,False,False,False
61,False,False,False
62,False,False,False
63,False,False,False
64,False,False,False
65,False,False,False
66,False,False,False
67,False,False,False
68,False,False,False
69,False,False,False
70,True,False,False
71,False,False,False
72,False,False,False
73,False,False,False
74,False,False,False
75,True,False,False
76,False,False,False
77,False,False,False
78,False,False,False
79,False,False,False
80,False,True,False
81,False,False,False
82,True,False,False
83,True,False,False
84,False,False,False
85,True,False,False
86,False,False,False
87,True,False,True
88,False,False,False
89,True,False,False
90,False,True,False
91,False,False,False
92,True,False,False
93,True,False,False
94,True,False,False
95,False,True,False
96,False,False,False
97,False,False,False
98,False,False,False
99,False,False,False
100,False,False,False
101,False,False,False
102,True,False,False
103,False,False,False
104,False,False,False
105,False,False,False
106,False,False,False
107,False,False,False
108,False,False,False
109,True,True,True
110,False,False,False
111,False,False,False
112,False,False,False
113,False,False,False
114,False,False,False
115,False,False,False
116,False,False,False
