Node,Metric,Mean,Median,Standard Deviation
1,closeness,0.19058995868815964,0.1882190980479168,0.1846246996182057
1,clustering,0.013786692732771222,0.019943215618890897,0.021457719125847298
1,degree,1.1375210118999703,2.1099754376048523,2.240913846913097
2,closeness,0.16992985700825924,0.11854618075813805,0.17210894326449588
2,clustering,0.011338583519165946,0.012543729428056594,0.0204174711192053
2,degree,0.8272122401132265,1.0355044701254883,2.3106869043124365
3,closeness,0.14558644483605687,0.1376374593582843,0.149748340732296
3,clustering,0.011975647954516777,0.012663609344534144,0.0168209090799969
3,degree,1.0288889139098814,0.9279658626281844,1.749808494618948
4,closeness,0.14929579227553558,0.11627674502203478,0.14822868186687088
4,clustering,0.01135567105381563,0.011427911382215328,0.0165725702433014
4,degree,0.9128384080681187,1.0094257696973372,1.706667870563272
5,closeness,0.08164428581246863,0.06558936952120908,0.0853184748626945
5,clustering,0.011984465434617286,0.01571102592036877,0.014804529524370901
5,degree,1.1615633221605322,1.2946006657071223,1.8323663307183171
6,closeness,0.09805522036104919,0.07047823920154284,0.0924705959745467
6,clustering,0.012846450260373676,0.014351941514727184,0.0150357470809954
6,degree,1.3417428507588838,1.6850656949219882,1.893764083850884
7,closeness,0.13274204277096002,0.12972514857363082,0.1252179419882369
7,clustering,0.010626690288756846,0.011421927647393249,0.013531967635253099
7,degree,0.91424015278713,0.8183865205449052,1.2188119511806763
8,closeness,0.13746066125967116,0.12409860581828913,0.10184739556461489
8,clustering,0.011289759412893674,0.013940840567502666,0.013191534431530701
8,degree,1.0299612131512745,1.2235165508207615,1.3156409551034527
9,closeness,0.07705417702886908,0.08227529623052332,0.0841992274905749
9,clustering,0.00884822426759202,0.01588830650184747,0.0092260910002701
9,degree,0.7541765290305875,1.6002259018037464,1.1137784149171823
10,closeness,0.1028066330228703,0.07727706068849294,0.1071249797228012
10,clustering,0.009716112130918275,0.01323186976743218,0.007593561176943401
10,degree,0.7331112908392043,0.870064304718106,0.8153546704670196
11,closeness,0.14024260789037557,0.12256060814625269,0.1185982124545206
11,clustering,0.015127033969402293,0.015464758726181804,0.0139620235291812
11,degree,1.649977245370664,2.210950435547545,1.3914726589265194
12,closeness,0.14069142269102808,0.09191941567032935,0.1382696684899774
12,clustering,0.011463229083352622,0.014228332579931946,0.0133693533102997
12,degree,1.016897875454461,1.2396102232171984,1.2707016629857641
13,closeness,0.15152377983078602,0.10885160862823162,0.1656168391214492
13,clustering,0.013366896586761379,0.015306701236744269,0.016041413425071697
13,degree,1.2412017031416696,1.1868239130022857,1.5298965004330907
14,closeness,0.14318020099462303,0.0982399339450406,0.14956198386678698
14,clustering,0.013243487100342732,0.01413042168128431,0.0133824745493478
14,degree,1.300689860834808,1.244980583959645,1.4393932864033863
15,closeness,0.05718332843384233,0.05840025768633628,0.0642895940845487
15,clustering,0.004082176083121669,0.006684651048998624,0.0118275308944579
15,degree,0.004218797959865128,0.3783277617447993,1.2054903432065907
16,closeness,0.09547227103732836,0.08690300948159346,0.113310079222255
16,clustering,0.005773395543496984,0.010207959642522968,0.011676849674644501
16,degree,0.06602410830365102,0.4269516623413949,1.3221023436697807
17,closeness,0.08456327467160674,0.06765967234414627,0.0896016651874898
17,clustering,0.007165134277205332,0.006574397426395651,0.0130788599491898
17,degree,0.478283990034285,0.0561905027796854,1.2397169281737885
18,closeness,0.09212266289244031,0.08812090725276156,0.0946490150604286
18,clustering,0.008335963940724223,0.008431201066809502,0.0157338261592464
18,degree,0.7260002855237104,0.9853446870421863,1.901029814070291
19,closeness,0.20149102373263483,0.14936000121343107,0.18369551464369568
19,clustering,0.016398083624560522,0.017435615629422974,0.0183685315239855
19,degree,1.4544061164566102,2.2381003825839727,1.5960279438960587
20,closeness,0.21097751588060643,0.18622367517049332,0.19320905428146562
20,clustering,0.01651762204826268,0.01697446290307747,0.0206480242521981
20,degree,1.4435282752154919,2.1870507307586635,1.9783581055109223
21,closeness,0.05871016298334952,0.030787337360214106,0.06226543614314319
21,clustering,0.00996672918656194,0.0099894639063981,0.0112583108279
21,degree,0.832571203898965,0.5913771371813894,1.429569793907247
22,closeness,0.05442200375976536,0.04324750668131405,0.03958869855853969
22,clustering,0.00863284638560835,0.0076240357462713515,0.008904518960276199
22,degree,0.7988885906960661,0.7949189870574358,0.8585319242959353
23,closeness,0.14113284442629048,0.10527106662169516,0.1119831367656609
23,clustering,0.015821283158203303,0.01724155418770279,0.0144378374432843
23,degree,1.8429314105147654,2.122692116310013,1.3547399790505306
24,closeness,0.13160660349571018,0.10345191871709969,0.1143057817241596
24,clustering,0.014032013899908602,0.016604866960876707,0.015301771354593999
24,degree,1.5317992001514398,2.017256273807206,1.6783897392178864
25,closeness,0.04937637539140938,0.04317773348559695,0.08283377722717591
25,clustering,0.0067855372700275085,0.009494208807791504,0.0124003872320325
25,degree,0.5179637468049805,1.0923497913484326,1.2887050987778492
26,closeness,0.04062627024270604,0.04010968571094842,0.0935163818444094
26,clustering,0.0035282531037004183,0.008595097447465339,0.0168376047538061
26,degree,0.10994223416781779,0.16696253032564812,1.9918061574411385
27,closeness,0.10989452606599559,0.08310357687672054,0.0798948372421851
27,clustering,0.017485561532955884,0.016036356294469756,0.0125927002223855
27,degree,1.8865901336499888,1.294025149206945,1.7829945963998715
28,closeness,0.09684674623135292,0.06033214298840717,0.0749212312802362
28,clustering,0.014980281797432826,0.014069515125382459,0.0107411057162441
28,degree,1.6604429260783675,1.0684239854694155,1.2184741064641644
29,closeness,0.10697518475034729,0.10073336258637622,0.12392643590068789
29,clustering,0.008687530049493408,0.012344037411287312,0.015028927883907901
29,degree,0.6294051216881371,0.6394101427235626,1.742663972415516
30,closeness,0.0821604937779894,0.08744032059242235,0.1010052428773087
30,clustering,0.00525322541019746,0.00898969748808165,0.015455549977251102
30,degree,0.1454618902050271,0.09862695573909264,1.8634972849053075
31,closeness,0.06831376313421633,0.06668983426448283,0.0881521792202028
31,clustering,0.006989726237524363,0.011758060560261074,0.0136123044614218
31,degree,0.6119535053889962,1.0047506505640627,1.443656997498516
32,closeness,0.07996335835700985,0.07746733430190456,0.0798225641643791
32,clustering,0.010730854899336006,0.017274796936741055,0.010201091996351
32,degree,1.1936371198273577,1.5546228714547254,0.900560043653267
33,closeness,0.14063387350670298,0.08341725040477099,0.1765175459310659
