Node,Graph,Closeness,Clustering,Degree
1,1,1.7658542255896768,0.5682804196122485,65.12428847947386
1,2,2.0685210436935817,0.5197155560657742,60.66926039203383
1,3,1.9224408913041129,0.6067330774743052,72.56813867434713
1,4,1.8839314389154804,0.5619704716461482,67.21983148320184
1,5,1.7786427374512317,0.573435283565831,68.3990138704927
1,6,1.9031931443350436,0.5366748699941103,62.73122205173796
1,7,1.7100706909824968,0.5804967944133463,68.18876416878388
1,8,2.0447754722542393,0.5650257805779817,68.33426864495654
1,9,1.767260727809408,0.5617155268920698,66.00346560161921
1,10,2.410752408046262,0.5060438973872394,60.91154939030171
1,11,1.98062280565421,0.5301493360618514,62.23623091656152
1,12,1.9985992147199074,0.5353098653760805,62.394946812738524
1,13,1.7555764915847842,0.5616384524681807,65.7850667202393
1,14,1.8928857589314072,0.5438370128964999,63.69487809566869
1,15,1.8860720801139674,0.538923459698497,62.565311308593124
1,16,1.7899422960743085,0.5503208976315473,64.30276218056679
1,17,2.1673417876206416,0.5127642721994418,60.80917873325488
1,18,1.9351084294791068,0.5448000971775825,64.09369611152393
1,19,1.9451877657195815,0.5417322295090504,64.07373879777593
1,20,1.5674333193382421,0.6198447157262963,73.74575370796893
1,21,2.0492621892793763,0.5285102550753293,62.18361670440619
1,22,1.7756672579434316,0.5633136302483838,66.62193765623454
1,23,1.7036249742081746,0.5962419878490837,70.79872597032741
1,24,1.9294817473182089,0.5511916473757122,64.12960489433334
1,25,2.031836594934075,0.5647964787630569,67.67151206357916
1,26,2.1162127784933933,0.5106912758255308,59.136365048837746
2,1,1.7270442280610898,0.5828846793424975,68.1328886271493
2,2,1.86179954865639,0.5360280005517966,62.00744848551651
2,3,2.5855118558200414,0.4614957975128398,50.9892485645171
2,4,1.8875626136550865,0.5601874305871207,66.86609188956106
2,5,1.8295527986345637,0.5675707100074876,67.58589627322648
2,6,1.9145353613526392,0.5343773582444368,62.32187351812117
2,7,1.704833239042276,0.5811544495487007,68.20465201850786
2,8,2.058681761618926,0.5619591099634604,67.9004916067653
2,9,1.838364251670069,0.5485705636045624,64.19150556109439
2,10,2.499376524373668,0.5000248240589337,60.25697303950621
2,11,2.0588063615437107,0.5207069880481334,60.924699776333846
2,12,1.8238239606260114,0.5496070441221407,63.666769450416645
2,13,2.081049292241025,0.5163140231798495,59.374333664226576
2,14,1.8897061020244468,0.5430902650516042,63.626622158339295
2,15,1.8556918270067706,0.548013498456607,63.99960580566651
2,16,1.9953035638526928,0.5182110264032717,59.766344517469406
2,17,2.0839509709563324,0.5152631150322026,60.86125259080776
2,18,1.958306692787316,0.5328683854532589,62.08909657211316
2,19,2.07689070523797,0.5315900320304949,62.83704041503872
2,20,1.656643466495206,0.6033647877350515,71.15726011382004
2,21,2.0082688839047487,0.5368783353956704,63.51784682003539
2,22,1.8539503483759483,0.5508570664475606,64.63216910564783
2,23,1.7036382335460016,0.5975590233861251,70.84055338904452
2,24,2.1622140122337705,0.5084137258749465,57.06099114148163
2,25,2.053288827095097,0.5275088766045978,61.1810658249096
2,26,2.0245105749839007,0.5187362010655362,60.01944789225175
3,1,1.6327693938149428,0.6099915122761921,72.68752707143082
3,2,2.1268952043187785,0.5167391163818108,60.221399261969395
3,3,2.159782068381326,0.6168792206893642,75.10423945585593
3,4,1.8379565986213695,0.570059544702482,68.24004145689186
3,5,1.7706096846319768,0.5722501676729446,68.08791847506987
3,6,1.8823621520782798,0.5352403214299396,62.12504194571407
3,7,1.7872267104990127,0.5622707826831119,64.88871795851925
3,8,1.9651350759932331,0.5633469207913376,67.64548448825862
3,9,1.7734927944269498,0.5586879434611897,65.63479523799779
3,10,2.440884829491852,0.5017220225883187,60.28607960989641
3,11,1.9864502684541185,0.5251800993246,61.338821910695685
3,12,2.0786991042971787,0.51867732783209,59.56449872151918
3,13,1.7861019938965244,0.5582477870410881,65.39451313700344
3,14,1.8735715317127202,0.553965499808763,65.3578744174827
3,15,1.9519352546194304,0.5329386921928845,61.810732505675055
3,16,1.8867950603928494,0.5499638986270508,65.0757866203785
3,17,2.1207119368384033,0.5185909442512384,61.63781831600079
3,18,1.8187654339918966,0.5489348501134262,64.3075146701738
3,19,1.8677117943085553,0.5458682926363291,64.2521445903153
3,20,1.6390780849174242,0.6028554071737717,70.9862773768638
3,21,2.01287612073892,0.5374013449299346,63.606817855407016
3,22,1.8237848910477388,0.5533082010707497,64.92486169273924
3,23,1.7131290257979634,0.5958071536853922,70.72814903711804
3,24,1.8049618695127396,0.5694209514925987,66.96083140292939
3,25,1.9242610529843975,0.5641091675312111,67.01426189897661
3,26,1.8556791476629302,0.5377762079342806,62.83033464761846
4,1,1.763508085707725,0.582419939367527,68.30053246763744
4,2,2.100967663301005,0.5212473698002694,60.9936531779825
4,3,2.044213830040922,0.5883924302205267,69.69411182261008
4,4,1.8587446514190709,0.5647067571796246,67.33138448042362
4,5,1.8382848979118496,0.5678608470191349,67.62178461952233
4,6,1.8917439167558812,0.5354406060061381,62.29453445083563
4,7,1.738684066091519,0.5712908345786537,66.3974946287089
4,8,1.961510490790284,0.5576127425743254,66.44845292636842
4,9,1.7238703596931717,0.5697397262784142,67.3220452573845
4,10,2.406166924035411,0.5031763578907282,60.39727547175278
4,11,2.073284511416958,0.5182568964600158,60.47107310801961
4,12,2.084939160755596,0.514790045464817,58.67905040977555
4,13,2.123177347323979,0.5092492750496442,58.349991709896855
4,14,1.9360106836430586,0.5558810987728526,66.2051619344988
4,15,1.8972863833236095,0.5388331164654628,62.588681182605974
4,16,1.7094284164376194,0.5674283639216142,67.3576657474041
4,17,2.1187216422407,0.5184189615040692,61.491360881405505
4,18,1.8653343811807006,0.5425804841711511,63.45287583389223
4,19,1.9040877263442333,0.5465943003101148,64.73058710776179
4,20,1.6700369820328265,0.5988232346738821,70.4298609642376
4,21,2.03231579440814,0.5313212819861722,62.47364264249255
4,22,1.876906280690534,0.5461609981535105,63.95861920658217
4,23,1.6921459036791167,0.5989130265711807,71.16283251604285
4,24,2.0273121504319738,0.5349772836372885,61.533569397456475
4,25,1.9235517228395274,0.5485689029483043,64.4113092819523
4,26,1.8926786782145275,0.5372350603526852,62.61242724521417
5,1,1.7655622227346985,0.5955877479065553,70.69643611402711
5,2,1.8252596308883986,0.5502934676048553,64.78699444169551
5,3,1.9136486486796758,0.6088216201309729,72.66453020835998
5,4,1.8168197738121623,0.5486084302011839,63.746850827126046
5,5,1.8657781920407623,0.5441308233919102,62.97480244398449
5,6,1.8770473082847992,0.5347513389239223,61.65025328320981
5,7,1.7311259337486307,0.5750276305560857,66.8079800061884
5,8,1.9744457402865925,0.5256200845298872,60.44510931457594
5,9,1.7688037438118596,0.5618432184795445,65.76180836695505
5,10,2.099726542959247,0.5073550302320876,59.775024792545864
5,11,1.8499732013443713,0.5373703717146872,62.58450721766142
5,12,1.7190702004090417,0.5716637808544288,67.60759102717734
5,13,1.782389990586864,0.5607495073149286,65.85966789281933
5,14,1.8542926828034516,0.5467481540940234,63.77243995859166
5,15,1.8138390711950936,0.5503649761436886,64.0114069174991
5,16,2.0317868983821787,0.5505941346076881,66.14031930267811
5,17,1.8924681682526816,0.527015088904575,62.00191355384918
5,18,1.8981091118678468,0.5311926906678742,61.137304953587986
5,19,1.8105126934316467,0.5498292081882903,64.61909813395124
5,20,1.7086415068573881,0.5864210943169118,67.74479466468297
5,21,1.8268111726726401,0.5449802647012952,63.56462909418298
5,22,1.8131143162116403,0.5496827052470481,63.58117014328578
5,23,1.9290153918696171,0.5366532098917387,60.12063014027583
5,24,1.717975775900362,0.5910699281807007,70.72925823678527
5,25,1.6983961931409248,0.5915523454573144,71.06610171383804
5,26,1.826358848701051,0.5428114659761615,63.06917917997376
6,1,1.6762283497690769,0.5988825717951377,70.74549829938024
6,2,1.8462703716747957,0.5450356886963215,63.84656484121104
6,3,1.7601866047345402,0.5721169151812707,65.72981980896138
6,4,1.7877354414213371,0.5561893884534774,64.90033337645008
6,5,1.7832375379317587,0.5624592679127347,66.00403436971038
6,6,1.8390592175847058,0.5408915054959131,62.53316695236861
6,7,1.7197726152768211,0.58921963776061,69.63211591867572
6,8,2.1081563963235035,0.5103297217326328,58.72365132049119
6,9,1.7552250287177051,0.5636995706572883,66.1566226578941
6,10,2.0621032571740043,0.5074508568738421,59.5510802025003
6,11,1.9220057583724577,0.5262374556011123,61.20932155890745
6,12,1.6811656477455197,0.5807598273756553,69.13198447108998
6,13,1.7687110907573937,0.5630334158817656,66.20080911936108
6,14,1.8225519111409982,0.5514189324130563,64.58326923064554
6,15,1.7297295395748413,0.5662354917459195,66.4843823088472
6,16,1.7983145980149486,0.5663390476531246,67.74610155820847
6,17,1.931131269508656,0.5177187782220377,60.282973063713015
6,18,1.9110916292326896,0.530620953295151,61.029541317980595
6,19,1.8414017861771206,0.5452231076161745,63.911985792331066
6,20,1.8000101852041488,0.5653746562829867,63.888527379058836
6,21,1.897642600322095,0.5362890532186629,62.30817859866067
6,22,1.819899478138633,0.5496658385379133,63.61954652592515
6,23,1.9756067862979056,0.5282974130971474,58.94812389174932
6,24,1.7395374100475283,0.5848924330591976,69.37525913960818
6,25,1.7727551499103569,0.5604035072661685,65.04993961897368
6,26,1.8720370698153377,0.5328671979660242,61.540744629490725
